Regionkod;RegionFull;Kommunkod;KommunFull;Lansmenyval
1;01 Stockholms län;114;0114 Upplands Väsby;1
1;01 Stockholms län;115;0115 Vallentuna;1
1;01 Stockholms län;117;0117 Österåker;1
1;01 Stockholms län;120;0120 Värmdö;1
1;01 Stockholms län;123;0123 Järfälla;1
1;01 Stockholms län;125;0125 Ekerö;1
1;01 Stockholms län;126;0126 Huddinge;1
1;01 Stockholms län;127;0127 Botkyrka;1
1;01 Stockholms län;128;0128 Salem;1
1;01 Stockholms län;136;0136 Haninge;1
1;01 Stockholms län;138;0138 Tyresö;1
1;01 Stockholms län;139;0139 Upplands-Bro;1
1;01 Stockholms län;140;0140 Nykvarn;1
1;01 Stockholms län;160;0160 Täby;1
1;01 Stockholms län;162;0162 Danderyd;1
1;01 Stockholms län;163;0163 Sollentuna;1
1;01 Stockholms län;180;0180 Stockholm;1
1;01 Stockholms län;181;0181 Södertälje;1
1;01 Stockholms län;182;0182 Nacka;1
1;01 Stockholms län;183;0183 Sundbyberg;1
1;01 Stockholms län;184;0184 Solna;1
1;01 Stockholms län;186;0186 Lidingö;1
1;01 Stockholms län;187;0187 Vaxholm;1
1;01 Stockholms län;188;0188 Norrtälje;1
1;01 Stockholms län;191;0191 Sigtuna;1
1;01 Stockholms län;192;0192 Nynäshamn;1
3;03 Uppsala län;305;0305 Håbo;2
3;03 Uppsala län;319;0319 Älvkarleby;2
3;03 Uppsala län;330;0330 Knivsta;2
3;03 Uppsala län;331;0331 Heby;2
3;03 Uppsala län;360;0360 Tierp;2
3;03 Uppsala län;380;0380 Uppsala;2
3;03 Uppsala län;381;0381 Enköping;2
3;03 Uppsala län;382;0382 Östhammar;2
4;04 Södermanlands län;428;0428 Vingåker;3
4;04 Södermanlands län;461;0461 Gnesta;3
4;04 Södermanlands län;480;0480 Nyköping;3
4;04 Södermanlands län;481;0481 Oxelösund;3
4;04 Södermanlands län;482;0482 Flen;3
4;04 Södermanlands län;483;0483 Katrineholm;3
4;04 Södermanlands län;484;0484 Eskilstuna;3
4;04 Södermanlands län;486;0486 Strängnäs;3
4;04 Södermanlands län;488;0488 Trosa;3
5;05 Östergötlands län;509;0509 Ödeshög;4
5;05 Östergötlands län;512;0512 Ydre;4
5;05 Östergötlands län;513;0513 Kinda;4
5;05 Östergötlands län;560;0560 Boxholm;4
5;05 Östergötlands län;561;0561 Åtvidaberg;4
5;05 Östergötlands län;562;0562 Finspång;4
5;05 Östergötlands län;563;0563 Valdemarsvik;4
5;05 Östergötlands län;580;0580 Linköping;4
5;05 Östergötlands län;581;0581 Norrköping;4
5;05 Östergötlands län;582;0582 Söderköping;4
5;05 Östergötlands län;583;0583 Motala;4
5;05 Östergötlands län;584;0584 Vadstena;4
5;05 Östergötlands län;586;0586 Mjölby;4
6;06 Jönköpings län;604;0604 Aneby;5
6;06 Jönköpings län;617;0617 Gnosjö;5
6;06 Jönköpings län;642;0642 Mullsjö;5
6;06 Jönköpings län;643;0643 Habo;5
6;06 Jönköpings län;662;0662 Gislaved;5
6;06 Jönköpings län;665;0665 Vaggeryd;5
6;06 Jönköpings län;680;0680 Jönköping;5
6;06 Jönköpings län;682;0682 Nässjö;5
6;06 Jönköpings län;683;0683 Värnamo;5
6;06 Jönköpings län;684;0684 Sävsjö;5
6;06 Jönköpings län;685;0685 Vetlanda;5
6;06 Jönköpings län;686;0686 Eksjö;5
6;06 Jönköpings län;687;0687 Tranås;5
7;07 Kronobergs län;760;0760 Uppvidinge;6
7;07 Kronobergs län;761;0761 Lessebo;6
7;07 Kronobergs län;763;0763 Tingsryd;6
7;07 Kronobergs län;764;0764 Alvesta;6
7;07 Kronobergs län;765;0765 Älmhult;6
7;07 Kronobergs län;767;0767 Markaryd;6
7;07 Kronobergs län;780;0780 Växjö;6
7;07 Kronobergs län;781;0781 Ljungby;6
8;08 Kalmar län;821;0821 Högsby;7
8;08 Kalmar län;834;0834 Torsås;7
8;08 Kalmar län;840;0840 Mörbylånga;7
8;08 Kalmar län;860;0860 Hultsfred;7
8;08 Kalmar län;861;0861 Mönsterås;7
8;08 Kalmar län;862;0862 Emmaboda;7
8;08 Kalmar län;880;0880 Kalmar;7
